Membership No  Date Joined  Active  
    39407      2018-11-1    no    
    85758      2019-5-6     yes   
    93053      2015-6-1     no    
    35347      2016-8-22    no    
    88006      2016-2-13    yes   
    69011      2015-1-1     yes   
    25909      2019-3-11    no    
    29392      2015-4-3     no    
    55919      2017-9-2     no    
    97037      2018-8-25    no    
    42922      2016-11-6    no    
    87191      2020-7-1     no    
    56955      2020-10-16   yes   
    27312      2016-12-14   no    
    26468      2018-1-21    no    
    74809      2015-11-6    yes   
    81631      2016-1-7     no    
    14915      2017-7-25    yes   
    64461      2015-7-22    no    
    89863      2019-9-10    no    
